Sexs,Age,State,ParticipationRate,Lon,Lat,,Age group,Met (%),Did not meet (%),,Sports,Males_ParticipationRate,Females_ParticipationRate,Persons_ParticipationRate,Persons_Estimate,,,Year,Sex,Category,Percent,,,,Year,Males_Number,Females_Number,Persons_Number,Males_Percent,Females_Percent,Persons_Percent
Female,55-64 years,Australian Capital Territory,78,149,-35,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,55-64 years,Australia,56.4,134,-28,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,65 years and over,New South Wales,44.5,147,-32,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,65 years and over,Victoria,49.8,145,-37,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,65 years and over,Queensland,37.1,143,-21,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,65 years and over,South Australia,48.3,138,-30,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,65 years and over,Western Australia,48.1,122,-25,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,65 years and over,Tasmania,46.7,147,-42,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,65 years and over,Northern Territory,47,133,-19,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,65 years and over,Australian Capital Territory,52.9,149,-35,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,65 years and over,Australia,44.8,134,-28,,,,,,,,,,,,,,,,,,,,,,,,,,
